,identifiant_unique,ville_code_postal
9095,grastilleur_sylvie_141767_reparation_0610921098,CAHUZAC 81540
9096,la_boite_a_pianos_166944_reparation_0556236774,FALEYRAS 33760
9097,jumabike_117710_reparation_0603258255,PORNIC 44210
9098,phil_services_195668_reparation_0380644593,MONTLAY EN AUXOIS 21210
9099,bouchault_bernard_201765_reparation_0475386419,VAGNAS 07150
9100,benoit_thierry_144850_reparation_0631126764,BRASSAC 81260
9101,leclaire_sophie_122023_reparation_0637026999,DEVILLE LES ROUEN 76250
9102,scan_labdesign_62699_reparation_0777846348,SAINT PRIEST EN JAREZ 42270
9103,geval_185521_reparation,LIFFOL LE GRAND 88350
9104,latelier_de_la_garratiere_183165_reparation_0695580823,MONSTEROUX MILIEU 38122
9105,darriere_aline_152134_reparation_0689435771,VENTENAC 09120
9106,sas_informatique__media_147081_reparation_0984151010,MURET 31600
9107,cardoso_electromenager_154906_reparation,ERGUE-GABERIC 29500
9108,classy_bijoux_201610_reparation,NAILLY 89100
9109,coing_depannage_6554_reparation_0476371886,LE GRAND LEMPS 38690
9110,m_martinez_jean_louis_179236_reparation_0626647743,ROQUEFORT-LA-BEDOULE 13830
9111,butavand_emilie_117975_reparation_0789015484,LE TOUVET 38660
9112,saint_clement_motoculture_34377_reparation,SAINT CLEMENT SUR DURANCE 05600
9113,m_godin_laurent_56053_reparation_0601778743,LECLUSE 59259
9115,minerolyss_223132_reparation_0612202026,BELLERIVE SUR ALLIER 03700
9116,isabelle_gonet_19013_reparation_0494327424_0614786975,SANARY SUR MER 83110
9117,art_et_tradition_du_cuir_135870_reparation_0975936873,ST GERMAIN DU PUY 18390
9118,bros_francois_144666_reparation_0581361818,BOZOULS 12340
9119,maina_antoine_170629_reparation_0666242078,ST JEAN D ILLAC 33127
9120,foulon_pascal_48884_sinoe_0960438743,AVRECHY 60130
9121,association_envoi_insertion__handicap_drupal_m1220_0562143850,COLOMIERS 31770
9122,mme_siedentop_maia_186895_reparation,BUSSY LETTREE 51320
9123,stehli_violetteanne_214829_reparation_0626925194,PARIS 19 75019
9124,isa_filoche_creation_retouche_114818_reparation_0231200112,LES MOUTIERS EN AUGE 14620
9125,mme_lebrun_lydia_58503_reparation_0322865432,EQUANCOURT 80360
9126,wernert_marie_212207_reparation_0130418832,RAMBOUILLET 78120
9127,bana_sarl_212709_reparation,PARIS 15 75015
9128,m_wach_jeanfrancois_186219_reparation_0672900948,BARR 67140
9129,max_c_fer_52413_reparation_0663018365,TAXAT SENAT 03140
9130,jl_agencement_151429_reparation_0466295274,SAINT GILLES 30800
9131,pinceaux_et_petits_mots_205753_reparation_0641893374,BLIGNY SUR OUCHE 21360
9132,lecomte_christian_143041_reparation,BEZIERS 34500
9133,latelier_d_ismael_114618_reparation_0662762106,BAVENT 14860
9134,lazare_johnny_136692_reparation_0236400091,CULAN 18270
9135,billom_multi_services_187521_reparation_0767504943,BILLOM 63160
9136,bureautique_services_95_210805_reparation_0139873817,GONESSE 95500
9137,dugre_manon_216029_reparation_0610586787,PARIS 18 75018
9138,mr_brunet_michel_167114_reparation_0699660472,TONNAY CHARENTE 17430
9139,eav_laurent_211988_reparation_0139726151,CONFLANS STE HONORINE 78700
9140,patrick_geffray_152815_reparation,LANVELLEC 22420
9141,sicaire_167669_reparation_0553821554,EYGURANDE ET GARDEDEUIL 24700
9142,salis_brigitte_epse_massol_151884_reparation_0633839904,CASSAGNES-BEGONHES 12120
9143,m_durand_bruno_124760_reparation,FRAIZE 88230
9144,michel_odic_153734_reparation,LANDIVISIAU 29400
9145,vitale_francois_marius_181733_reparation_0609652921,SENAS 13560
9146,dg_motoculture_199524_reparation_0781865517,OISELAY ET GRACHAUX 70700
9147,piofret_lucile_213879_reparation_0662655370,VERSAILLES 78000
9148,mme_tournay_johanna_194943_reparation_0682869279,IWUY 59141
9149,cordonnerie_laprevote_8141_reparation_0476557923,LE PONT DE BEAUVOISIN 38480
9150,itechome_158219_reparation,SAINT-MALO 35400
9151,labrouche_antiquaire_de_materiaux_168508_reparation,AYTRE 17440
9152,rs_cycles_76982_reparation_0677951073,CHAUNY 02300
9153,cash_markers_46445_sinoe_0145710964,PARIS 15E  ARRONDISSEMENT 75015
9154,au_fil_du_bois_3351_reparation_0479833886,VALLOIRE 73450
9155,le_ptit_reparateur_164123_reparation_0620089811,RIVEDOUX PLAGE 17940
9156,ty_kaz_creation_157343_reparation_0698304346,GUIDEL 56520
9157,les_jantes_du_nord_1106_initiatives_locales,LILLE 59800
9158,mg_distribution_181295_reparation_0491682610,PLAN DE CUQUES 13380
9159,jouvin_jean_208302_reparation_0683061525,PARIS 11 75011
9160,standor_17892_reparation,SAINT TROPEZ 83990
9161,marc_herve_informatique_155825_reparation,PONT-AVEN 29930
9162,faciprint_221980_reparation_0492079500,ST LAURENT DU VAR 06700
9164,sassier_gilles_196901_reparation_0384370885,POLIGNY 39800
9165,game_ever_203670_reparation_0648732914,CHALON SUR SAONE 71100
9166,amsty_199654_reparation_0666196285,DIJON 21000
9167,esposito_antonio_8138_reparation_0472317916,VOURLES 69390
9168,mme_karst_regine_123527_reparation_0383801563,BOUXIERES SOUS FROIDMONT 54700
9169,ritouet_pierre_67909_reparation_0228112551,NOTRE DAME DE MONTS 85690
9170,hb_retouches_et_maroquinerie_201465_reparation_0769679813,DELLE 90100
9171,pimp_180043_reparation,POURRIERES 83910
9172,gomes_da_costa_manuel_214403_reparation_0130903823,AUBERGENVILLE 78410
9173,alex_vanono_195094_reparation_0651708912,TOURCOING 59200
9174,stone_gardens_172511_reparation_0647260130,BORDEAUX 33000
9175,tondu_solange_150177_reparation_0682077052,AGDE 34300
9176,gms_169879_reparation,LE HAILLAN 33185
9177,consulting_evenement_55036_reparation_0320651124,ROUBAIX 59100
9178,le_moal_francoise_68703_reparation_0241571366,BRISSAC LOIRE AUBANCE 49320
9179,laurence_mace_153209_reparation,DOL-DE-BRETAGNE 35120
9180,la_boite_de__co_10460_reparation_0687221270,SAINT PRIEST EN JAREZ 42270
9181,wagner_jeanchristophe_142513_reparation_0684455380,VILLENEUVE LES MAGUELONE 34750
9182,izy_informatique_220369_reparation_0688064669,LONGVILLIERS 78730
9183,creabois_173365_reparation_0781902728,SAINTE FORTUNADE 19490
9184,chtp_136799_reparation,BOSSEE 37240
9185,decoramon_211258_reparation_0160665995,LE CHATELET EN BRIE 77820
9186,_alex_121634_reparation,ROUEN 76000
9187,roudaut_victoire_215231_reparation_0685061455,PARIS 116 75116
9188,menton_cycles_125214_reparation_0492105666,MENTON 06500
9189,loditec_135402_reparation_0247444794,LA VILLE AUX DAMES 37700
9190,gravure_industrielle_et_commerciale_121387_reparation,ROUEN 76000
9191,clemente_cedric_147377_reparation_0682612525,MONTASTRUC-LA-CONS 31380
9192,alpes_provence_motoculture_15971_reparation,PEYRUIS 04310
9193,association_recyclerie_de_villard_de_lans_54428_sinoe_0641515292,VILLARD DE LANS 38250
9194,mme_ripoll_helene_58492_reparation_0322451791,AMIENS 80000
9195,dargaud_196300_reparation_0385378043,PRISSE 71960
9196,dome_services_34354_reparation_0674534028,GERZAT 63360
9197,atelier_saint_jacques_153119_reparation,LANDIVISIAU 29400
9198,martin_celine_215826_reparation_0782430553,PARIS 11 75011
9199,thome_alain_134792_reparation_0247933782,CHINON 37500
9200,blais_sebastien_204410_reparation_0686112218,ANDARD 49800
9201,atelier_v_178376_reparation,SORGUES 84700
9202,jm_location_skis_et_velos_201826_reparation,ARACHES-LA-FRASSE 74300
9203,chouard_milene_136796_reparation_0247932210,CHINON 37500
9204,bouancheau_sylvain_113582_reparation,ST PHILBERT DE GRAND LIEU 44310
9205,reparphonix_182638_reparation_0620604580,SEILLANS 83440
9206,geas_nadia_190975_reparation_0553624506,ST MESMIN 24270
9207,le_cuir_by_anliz_77553_reparation_0698190744,MONTEUX 84170
9208,creapolys_161007_reparation_0673395216,MERIGNAC 33700
9209,vigneau_maud_71622_reparation_0675783185,SUCE SUR ERDRE 44240
9210,couteau_colette_136677_reparation_0238446955,CRAVANT 45190
9211,balboa_gestion_services_201889_reparation_0950433133,TOURNON SUR RHONE 07300
9212,le_tourbillon_des_toupies_191463_reparation,CAZERES SUR L ADOUR 40270
9213,le_chapelain_bernard_138947_reparation,REBRECHIEN 45470
9214,antibugs_4169_reparation_0677762937,SAINT ETIENNE 42100
9215,m_guenat_philippe_123662_reparation,THELOD 54330
9216,pailloncy_marie_148494_reparation,VERFEIL 31590
9217,marechal_johan_67765_reparation_0251052653,MARTINET 85150
9218,mode_harmony_sn_58430_reparation_0322327720,BERNAVILLE 80370
9219,plastivac_francois_gueutin_195541_reparation_0386482788,AUXERRE 89000
9220,adcreation_193753_reparation_0664127776,ARRAS 62000
9221,cadik_joaillerie_214176_reparation,PARIS 09 75009
9222,m_audic_philippe_143984_reparation,GERM 65510
9223,thobaco_design_119778_reparation_0688114173,CALUIRE ET CUIRE 69300
9224,sarl_latelier_du_cadre_154000_reparation,VANNES 56000
9225,magnum_126438_reparation_0781879860,SAINT-JORIOZ 74410
9226,eurl_eberlin_209937_reparation_0143252315,PARIS 06 75006
9227,m_collette_francois_54149_reparation,LAMBERSART 59130
9228,parchemin_le_37103_sinoe_0468314925,LIMOUX 11300
9229,ferropikta_170942_reparation_0652983499,BARSAC 33720
9230,lhorloger_de_saint_pierre_173263_reparation_0553368202,MONFLANQUIN 47150
9231,ffl_183821_reparation,ANGERS 49000
9232,mme_van_gansbeke_chloe_57074_reparation_0614523166,ROUBAIX 59100
9233,pumpkin_jelly_154180_reparation,AMANLIS 35150
9234,line_up_informatique_121626_reparation_0671226112,STE ADRESSE 76310
9235,pointcouture_153608_reparation,SAINT-GREGOIRE 35760
9236,rb_motoculture_207372_reparation_0563911816,MONTAUBAN 82000
9237,freeman_isiatu_213041_reparation_0663820792,PARIS 04 75004
9238,envie_firminy_60410_sinoe_0428230643,FIRMINY 42700
9239,eric_bertret_67393_reparation,LE BERNARD 85560
9240,ilagam_223724_reparation_0610976597,GRENOBLE 38000
9241,bf_sport_97735_reparation_0632927185,STENAY 55700
9242,tonnellier_isabelle_149566_reparation_0622982828,BEZIERS 34500
9243,dufour_alain_56435_reparation,CAMBLAIN L ABBE 62690
9244,pouchet_sylvain_171322_reparation_0695206474,CASTETS ET CASTILLON 33210
9245,onenet_services_213875_reparation,NEUILLY PLAISANCE 93360
9246,a_lart_du_bijou_maison_maurice_kuhn_132943_reparation_0389773441,MUNSTER 68140
9247,color_video_161293_reparation_0556201818,CAMBLANES ET MEYNAC 33360
9248,crequi_medical_56174_reparation_0321129226,AIRE SUR LA LYS 62120
9249,sanlaville_yohann_12823_reparation_0473801335,PESCHADOIRES 63920
9250,fifi_brin_d_argent_213548_reparation_0164573628,MILLY LA FORET 91490
9251,md_wood_194809_reparation_0631610361,BOESCHEPE 59299
9252,moussaoui_jamila_151227_reparation,MONTPELLIER 34070
9253,cros_jeanmarc_141217_reparation_0563384663,ALBI 81000
9254,bois_tournes_de_soreze_141706_reparation_0581276567,SOREZE 81540
9255,tapapat_creations_157623_reparation_0674816010,AURAY 56400
9256,munch_mecanagri_174961_reparation_0631620499_0553476400,ST URCISSE 47270
9257,roland_velo_67119_reparation_0251088553,CHANTONNAY 85110
9258,cara_172765_reparation_0680336306,BORDEAUX 33800
9259,raulet_gilles_210120_reparation_0134181854,ST-LEU-LA-FORET 95320
9260,ecomultimedia_drupal_m1211_0605132132,MEYZIEU 69330
9261,eugenie_crea_104893_reparation_0603878823,LURCY 01090
9262,mme_edouard_isabelle_195437_reparation_0601754048,MERU 60110
9263,m_winninger_guillaume_187153_reparation,VIEUX THANN 68800
9264,audio_frequences_96681_reparation_0383323737,NANCY 54000
9265,atelier_lutece_217577_reparation_0618652494,PARIS 09 75009
9266,mosso_michel_142403_reparation_0607251581,VILLEMUR-SUR-TARN 31340
9267,sylvain_bigot_archetier_4165_reparation_0610284574,CHATEAUNEUF 42800
9268,m_zippert_jean_marc_186732_reparation_0389270483,INGERSHEIM 68040
9269,atelier_les_eclisses_93203_reparation_0231857340,CAEN 14000
9270,mme_hodera_caroline_199898_reparation_0633077031,PERCENEIGE 89260
9271,plc_multi_services_8273_reparation_0608134027,CHOMERAC 07210
9272,maelles_bijoux_171818_reparation_0555800835,MAISONNISSES 23150
9273,mme_alzerreca_marie_anne_57605_reparation,VERNEUIL EN HALATTE 60550
9274,mme_duchemin_audrey_193766_reparation_0663107876,LILLE 59000
9275,hakka_hadjira_210782_reparation_0668133262,BRIE COMTE ROBERT 77170
9276,ayache_david_207633_reparation_0467609657,MONTPELLIER 34000
9277,zanco_ophelie_5948_reparation_0450522332,ALEX 74290
9278,etablissements_jung_massaroni_222034_reparation,SIGNES 83870
9279,lb_solutions_174056_reparation_0659461030,SALIES DE BEARN 64270
9280,radio_meyer_sarl_93745_reparation_0388200881,LAMPERTHEIM 67450
9281,janona_101351_reparation,BONNEVILLE 74130
9282,heitzmann_christophe_196176_reparation,BOULIGNEY 70800
9283,doos_arc_passion_183136_reparation_0660768261,LAGORCE 07150
9284,mme_andre_laura_202004_reparation_0678286427,CHENIERES 54720
9285,bjpm_brison_68324_reparation,LA ROCHE SUR YON 85000
9286,touraille_christophe_184584_reparation_0669611287,VERNEUIL D'AVRE ET D'ITON 27130
9287,point_etoile_179684_reparation_0645459166,NICE 06000
9288,zelliges_216664_reparation_0603130528,MONTREUIL 93100
9289,magic_stella_creation_9953_reparation_0475290273,ST JEAN ROURE 07160
9290,nicolas_servis_201193_reparation,CHANTENAY ST IMBERT 58240
9291,chastagner_location_220130_reparation,HERBLAY 95220
9292,a_agathe_210505_reparation,PARIS 03 75003
9293,hardware_83_222042_reparation_0749328332,TOULON 83000
9294,ardizzone_marcelo_208727_reparation_0143610747,PARIS 20 75020
9295,donnat_philippe_215761_reparation,BAGNOLET 93170
9296,rollandeau_sylvain_144596_reparation_0683346961,PANJAS 32110
9297,4_office_107780_reparation,ST ANDRE SUR ORNE 14320
9298,joos_frederic_147210_reparation_0609396941,MAUGUIO 34130
9299,giroud_francois_39308_reparation,SAINT VERAN 05350
9300,teraflash_68_reparation_0652531996,LYON 03 69003
9301,lart_du_temps_17068_reparation_0493523222,NICE 06100
9302,morin_emilie_176740_reparation,FOURNEVILLE 14600
9303,emmaus_alternatives_boutique_beaumarchais_47052_sinoe,PARIS 11E  ARRONDISSEMENT 75011
9305,menil_florian_139469_reparation,NERONDES 18350
9306,jeanclaude_manniez_53776_reparation_0327885011,DOUAI 59500
9307,rapid_couture_16690_reparation,CAGNES SUR MER 06800
9308,m_leszak_philippe_123511_reparation,BENAMENIL 54450
9309,cordonnerie_zaza_52668_reparation_0664060931,MARSEILLE--7E--ARRONDISSEMENT 13007
9310,ihler_christian_17771_reparation_0494436617,LA GARDE FREINET 83680
9311,atelier_marano_178440_reparation,CARPENTRAS 84200
9312,only_wood_9285_reparation_0476513935,GRENOBLE 38100
9313,oldos_info_175071_reparation_0608863020,EYSINES 33320
9314,morisset_eric_171078_reparation_0681987820,CHAZELLES 16380
9315,veenacorp_150697_reparation_0785963221,AUCH 32000
9316,ogawa_masami_214919_reparation_0665266331,SAINT MANDE 94160
9317,kamabois_185320_reparation_0778338119,MARENNES 69970
9318,nw_av_services_16258_reparation,ANTIBES 06600
9319,creatures_109865_reparation_0682166927,LANGEAC 43300
9320,ceccherini_christian_13255_reparation,MARSEILLE--9E--ARRONDISSEMENT 13009
9321,les_minis_puces_58507_sinoe_0559267591,SAINT-JEAN-DE-LUZ 64500
9322,m_tonnelier_cyril_124315_reparation,COURTHIEZY 51700
9323,parachute_global_service_203714_reparation_0381401314,MARNAY 70150
9324,mme_chaumette_anne_53914_reparation_0321648174,NOEUX LES MINES 62290
9325,s_danjou_199424_reparation,MYON 25440
9326,jodoo_naturellement_bois_187097_reparation_0672188612,OTTROTT 67530
9327,ulespace_de_bonneville_vestiboutique_46591_sinoe_0450257534,BONNEVILLE 74130
9328,global_electronic_16798_reparation_0492195051_0609533838,MOUGINS 06250
9329,mortelette_tiphaine_151904_reparation,CASTELNAU LE LEZ 34170
9330,le_pavet_16322_reparation_0493833805,NICE 06200
9331,l_l_174664_reparation_0616187372,ANGLADE 33390
9332,la_passion_du_pc_184556_reparation_0663238395,VAL D'ORGER 27440
9333,avenir_bois_190753_reparation_0672134099,AUBAZINES 19190
9334,contact_travaux_172370_reparation_0771053448,FEYTIAT 87220
9335,piazzo_lor_148568_reparation_0783936241,TOULOUSE 31100
9336,laureenbeaute_116791_reparation_0625617990,ST GENIS LAVAL 69230
9337,leymerigie_laurent_159901_reparation_0556401989,BORDEAUX 33100
9338,ulmaison_de_vence_vestiboutique_47770_sinoe_0493242860,VENCE 06140
9339,blanc_thibault_190934_reparation_0663143715,LE BUISSON DE CADOUIN 24480
9340,lesquatrefeuilles_206183_reparation_0235565826,ALVIMARE 76640
9341,vm_counseie_182397_reparation,MAZAUGUES 83136
9343,fulconis_damien_148844_reparation,MILLAU 12100
9344,synthr_104404_reparation_0675512559,CHALLES LES EAUX 73190
9345,pizzoni_patrice_140507_reparation_0687340870,SEYSSES 31600
9346,prodeosys_214198_reparation,BOISSISE LE ROI 77310
9347,mazet_pierre_jean_111761_reparation_0645061509,RIOM 63200
9348,cordonnerie_cles_65822_reparation,YQUELON 50400
9349,pose_tout_116673_reparation_0648330478,AIX LES BAINS 73100
9350,guetta_elieroger_178294_reparation,SALERNES 83690
9351,tsbi_17627_reparation_0493767492,GRASSE 06130
9352,charron_murielle_92708_reparation_0231320257,FIRFOL 14100
9353,pulsat_interieurs_prives_196117_reparation_0385751296,LOUHANS 71500
9354,de_tourne_passion_104371_reparation_0675552817,MARSONNAS 01340
9355,designeure_125428_reparation_0609484295,CONDE SUR RISLE 27290
9356,cash_converters_59348_sinoe_0262701701,SAINT-PIERRE 97410
9357,lart_du_bois_733_reparation_0750206811,MALLEVAL 38470
9358,sarl_bijoux_pluriel_90_reparation_0474850224,VIENNE 38200
9359,les_fantais_isa_174554_reparation_0784035145,LE FLEIX 24130
9360,tomtom_et_nana_176674_reparation_0633234598,VIRE NORMANDIE 14500
9361,aby_gardner_211783_reparation,NEUILLY SUR MARNE 93330
9362,defil_coutures_7261_reparation_0479386755,STE HELENE SUR ISERE 73460
9363,renart_149480_reparation,PEZENAS 34120
9364,lkrr_222196_reparation,SAINT MITRE LES REMPARTS 13920
9365,lempan_sarl_96938_reparation_0383288896,NANCY 54000
9366,emmacreation_60537_reparation_0232312463,EVREUX 27000
9367,art_beziers_cadres_signature_140635_reparation_0467764278,BEZIERS 34500
9368,les_pampilles_damelie_192399_reparation_0649533319,ST GEORGES D AURAC 43230
9369,anor_108515_reparation,ANTIBES 06600
9370,ad_store_112086_reparation_0661951269,EPAGNY METZ-TESSY 74330
9371,m_mons_cedric_166660_reparation_0684997722,MERCOEUR 19430
9372,giles_hevair_2222_reparation_0478376137,LYON 02 69002
9373,les_p_tites_bricoles_de_mag_202523_reparation_0601024770,TOURVES 83170
9374,mc_bijoux_france_195234_reparation_0669380242,SOISSONS 02200
9375,mme_potier_gaelle_178630_reparation_0646823598,VALLAURIS 06220
9376,desclee_de_maredsous_marieastrid_138638_reparation_0616674400,CHARENTILLY 37390
9377,m_hammerer_michel_97953_reparation_0986239098,EPINAL 88000
9378,get_lost_motorcycles_122860_reparation_0638382672,MARLIOZ 74270
9379,mise_au_point_eirl_190409_reparation_0619733057,CHARLIEU 42190
9380,m_crapski_stephan_150385_reparation,BOO SILHEN 65400
9381,florowen_184479_reparation,LE PRE D AUGE 14340
9382,horlogerie_karine_noel_71189_reparation_0610295044,MONNIERES 44690
9383,le_domaine_du_bois_161740_reparation_0611969480,SAINT LAURENT DE LA PREE 17450
9384,melusine_154608_reparation_0683366738,ROCHEFORT-EN-TERRE 56220
9385,proust_charlene_151721_reparation_0663349627,PUYCELSI 81140
9386,rouzot_victor_150964_reparation_0783465172,CASTANET-TOLOSAN 31320
9387,boulou_valerie_epse_creamer_143026_reparation,COLLIOURE 66190
9388,fj_services_202942_reparation_0659179254,THONON-LES-BAINS 74200
9389,cash__repair_rennes_saintgregoire_drupal_m0167_0285528035,SAINT GRÉGOIRE RENNES 35760
9390,dursap_lea_120173_reparation_0760545486,COUBON 43700
9391,stane_94398_reparation_0388516287,GEISPOLSHEIM 67118
9392,velocite63_54707_sinoe,CLERMONT-FERRAND 63000
9393,l_atelier_des_mains_a_gilles_190991_reparation_0674354339,BASSILLAC ET AUBEROCHE 24330
9394,la_meute_des_loulous_6211_reparation_0479711356,LA TABLE 73110
9395,bertille_et_lucien_117502_reparation_0676333237,TREVIGNIN 73100
9396,tigier_sofa_156342_reparation,LA MEZIERE 35520
9397,franck_thomas_155077_reparation,SAINT-MICHEL-EN-GREVE 22300
9398,m_vais_enzo_194413_reparation,AIRE SUR LA LYS 62120
9399,mme_couyras_corinne_124307_reparation_0326726164,ARRIGNY 51290
9400,usual_sculpture_186594_reparation_0678197400,MUNSTER 68140
9401,bagouze_170905_reparation_0555718557,LIMOGES 87000
9402,bauce_joaillerie_213950_reparation_0622070938,PARIS 10 75010
9403,excalibur_adage_publicite_153368_reparation_0622283072,LE PALAIS 56360
9404,ulespace_de_merignac_vestiboutique_48611_sinoe_0556458700,MERIGNAC 33700
9405,mme_rossi_coralie_198516_reparation_0667809067,ST MESMIN 21540
9406,georgel_eric_176919_reparation_0667241809,L HOME CHAMONDOT 61290
9407,zornio_marilou_137058_reparation,AZY 18220
9408,helfritt_sony_217431_reparation_0664964079,LISSES 91090
9409,oasis_computer_services_179456_reparation_0698438711,LA VALETTE-DU-VAR 83160
9410,thomas_raphael_164525_reparation_0698790808,VILLENAVE D ORNON 33140
9411,le_fil_des_envies_51397_reparation_0469285390,ST NAZAIRE EN ROYANS 26190
9412,danetco_196620_reparation_0607524426,BLANZY 71450
9413,virginie_couture_199970_reparation_0381641162,MAICHE 25120
9414,home_sails_2102_reparation_0478242727,LYON 06 69006
9415,plaisirs_perles_193540_reparation_0637584077,PONTPOINT 60700
9416,axial_vetements_101360_reparation_0954407047,LE VERNET 03200
9417,norma_desmond_212697_reparation,PARIS 19 75019
9418,laigle_dor_16965_reparation_0493855251,NICE 06300
9419,porky_hefer_179791_reparation_0753470860,ARLES 13200
9420,belor_120392_reparation_0596382354,LE LAMENTIN 97232
9421,omaha_bike_project_107938_reparation,SAON 14330
9422,landais_alain_162008_reparation_0556023666,BORDEAUX 33200
9423,latelier_de_violaine_155013_reparation,TREZENY 22450
9424,bontet_quentin_139178_reparation_0247390730,LA RICHE 37520
9425,mme_yacoub_lamia_149677_reparation_0617559303,JUNAS 30250
9426,la_jeanette_94238_reparation_0389328210,RIXHEIM 68170
9427,les_copeaux_de_leo_122450_reparation,DIEPPE 76200
9428,yona_design_136979_reparation_0247537008,AZAY LE RIDEAU 37190
9429,europ_informatique_96442_reparation,SAINT DIZIER 52100
9430,bj_motoculture_174796_reparation_0764402469,EYBOULEUF 87400
9431,art__pascal_bois_179689_reparation_0611019754,GRASSE 06130
9432,ballafkir_hicham_151771_reparation,PEZENAS 34120
9433,dias_casaldeira_manuel_217757_reparation_0611622480,VILLABE 91100
9434,ertan_217359_reparation,PARIS 12 75012
9435,etablissements_pinson_134869_reparation_0254746325,BLOIS 41000
9436,laiguille_francaise_126435_reparation_0650866868,ANNECY 74000
9437,abc_informatique_171898_reparation_0972580022,SECONDIGNY 79130
9438,didier_cariguel_162793_reparation_0555126364,LIMOGES 87000
9439,fun_bijoux_175847_reparation_0553824774,ST LAURENT DES HOMMES 24400
9440,clark_william_183168_reparation_0640920289,MONTRIOND 74110
9441,larcodelle_153261_reparation,NOYAL-PONTIVY 56920
9442,aoucheta_rachida_214629_reparation,CLICHY 92110
9443,express_services_4916_reparation_0608989745,MARGENCEL 74200
9444,pcfacile_163970_reparation_0659189789,SAINT YRIEIX LA PERCHE 87500
9445,petitravo_175107_reparation_0666762338,LA TESTE-DE-BUCH 33260
9446,lcrm_168778_reparation_0605080873,AUDENGE 33980
9447,a_domicile_motoculture_32045_reparation,L'ISLE SUR LA SORGUE 84800
9448,lembron_motoculture_12947_reparation,ST GERMAIN LEMBRON 63340
9449,a_lorigine_concept_203478_reparation,LYON 02 69002
9450,lescot_pierre_208534_reparation,ARGENTEUIL 95100
9451,mme_severac_lucile_105078_reparation,REMIREMONT 88200
9452,mme_guiraud_francoise_207879_reparation_0663775632,MASSILLARGUES ATTUECH 30140
9453,a2mconception_184590_reparation_0611305687,BEAUBRAY 27190
9454,systopod_183666_reparation,SIERCK LES BAINS 57480
9455,anzit_pianos_187549_reparation_0664475307,ST PAL DE SENOUIRE 43160
9456,ergc_drupal_m1939_0372133308,METZ 57000
9457,lhande_corinne_210248_reparation_0164636160,COUTEVROULT 77580
9458,peggy_b_2778_reparation_0681614439,COMMUNAY 69360
9459,thierry_depanservices_119250_reparation_0233836662,REMALARD EN PERCHE 61110
9460,mf_multiservices_206657_reparation_0626157426,ST MARTIN DES PLAINS 63570
9461,serrie_warren_218281_reparation_0782224257,PARIS 01 75001
9462,leazher_173424_reparation_0683540158,SAINT SEURIN DE PALENNE 17800
9463,affutage_percheron_177215_reparation_0617801955,BELLAVILLIERS 61360
9464,etude_et_realisation_de_materiels_et_dequipements_140989_reparation_0562648613,MONTEGUT ARROS 32730
9465,helpmacpc_154448_reparation_0664831697,BREST 29200
9466,gras_catherine_150945_reparation,LA CANOURGUE 48500
9467,peron_catherine_154581_reparation_0762867148,SAINT-AVE 56890
9468,sapinformatique74_10464_reparation_0450248875,FILLIERE 74570
9469,collectif_cycliste_37__la_bricolade_54739_sinoe,TOURS 37000
9470,monsieur_colas_frederick_76976_reparation,LA FERE 02800
9471,deletraz_hugo_62772_reparation_0685076414,ANNECY 74000
9472,ethys_154807_reparation,SAINT-JACQUES-DE-LA-LANDE 35136
9473,vinea_161003_reparation,JONZAC 17500
9474,mme_laayoun_emmie_101127_reparation,TOURCOING 59200
9476,pj_creart_219142_reparation,SAINT MANDE 94160
9477,mme_czelusniak_sandrine_193681_reparation_0668190446,MAZINGARBE 62670
9478,igounenc_laura_147906_reparation,SERIGNAN 34410
9479,loison_multi_services_125829_reparation_0650795854,ANDE 27430
9480,mr_krajcik_judicael_124168_reparation,CHATEAU PORCIEN 08360
9481,eika_informatique_154031_reparation,FOUESNANT 29170
9482,prenons_le_guidon_54721_sinoe_0612802117,PLAPPEVILLE 57050
9483,tourneboeuf_simon_168830_reparation,BORDEAUX 33000
9484,castets_jean_marc_160782_reparation,SOUPROSSE 40250
9485,alter_bike_161092_reparation_0546670990,LA ROCHELLE 17000
9486,mon_atelier_de_bois_brule_126400_reparation_0638628063,ST VICTOR LA RIVIERE 63790
9487,mm_avanzato_julien_32247_reparation_0607782776,CABRIERES D AIGUES 84240
9488,joffre_jeanmichel_11684_reparation_0471084488,ST JULIEN CHAPTEUIL 43260
9489,am_productions_183164_reparation_0672475846,EYBENS 38320
9490,pdg_call_113930_reparation_0682916127,SAUVERNY 01220
9491,k_fservices_3578_reparation_0619631559,UGINE 73400
9492,bg_com_182614_reparation_0610500067,AVIGNON 84000
9493,arianie_17914_reparation,SAINT TROPEZ 83990
9494,mme_seghi_cecile_124871_reparation_0762599263,GOLBEY 88190
9495,sos_phone_193361_reparation,AMIENS 80000
9496,sarl_sat_46_141845_reparation,GOURDON 46300
9497,dici_ebenisterie_9458_reparation_0787914442,MANIGOD 74230
9498,encre_bois_metal_185649_reparation_0766770581,CEILLOUX 63520
9499,les_reparations_de_lulu_201658_reparation_0668825964,VILLERS LES LUXEUIL 70300
9500,tpu_inform_tique_156384_reparation_0682451734,COMBOURG 35270
9501,sophie_samson_219666_reparation,PARIS 08 75008
9502,dumons_josyan_142739_reparation_0681367426,CORDES TOLOSANNES 82700
